Kung Fu Tea run — Friday 3pm!!,,,,,,,
orders in by 2pm please,,,,,,,
,,,,,,,
Name,What drink do you want?,Size,Sugar level,Ice,Toppings,Milk,Venmo
Alice Chen,Taro Slush,large,50%,less ice,boba,,@alice
bob ,  thai tea milk cap ,LG,half sweet,No Ice,"oreo, pudding",,@bobby
Priya,Matcha Milk,medium,30,regular,,soy milk,@priya-k
Dan,Winter Melon Tea x2,L,no sugar,extra ice,crystal boba,,@dan
,Honey Milk Tea,medium,100%,less,,,
Sam,Wintermelon Lemonaid,,25%,,popping boba,oat milk,@sammy
Tomás,Oolong Milk Tea,small,less sweet,,"2x pudding, red bean",,@tomas
Jo,,medium,50%,less ice,boba,,@jo
Mei,Honey Green Tea,MEDIUM,,,mango jelly,,@mei
